date,year,week,city,dengue,chikungunya,zika,arbovirus
30/12/2018,2019,1,Soledad,17,0,0,17
06/01/2019,2019,2,Soledad,25,0,0,25
13/01/2019,2019,3,Soledad,16,0,0,16
20/01/2019,2019,4,Soledad,20,0,0,20
27/01/2019,2019,5,Soledad,12,0,0,12
03/02/2019,2019,6,Soledad,18,1,0,19
10/02/2019,2019,7,Soledad,11,0,0,11
17/02/2019,2019,8,Soledad,8,0,0,8
24/02/2019,2019,9,Soledad,2,0,0,2
03/03/2019,2019,10,Soledad,6,0,0,6
10/03/2019,2019,11,Soledad,1,0,0,1
17/03/2019,2019,12,Soledad,1,0,0,1
24/03/2019,2019,13,Soledad,1,0,0,1
31/03/2019,2019,14,Soledad,2,0,0,2
07/04/2019,2019,15,Soledad,4,0,0,4
14/04/2019,2019,16,Soledad,2,0,0,2
21/04/2019,2019,17,Soledad,4,0,0,4
28/04/2019,2019,18,Soledad,3,0,0,3
05/05/2019,2019,19,Soledad,3,0,0,3
12/05/2019,2019,20,Soledad,0,0,0,0
19/05/2019,2019,21,Soledad,2,0,0,2
26/05/2019,2019,22,Soledad,5,0,0,5
02/06/2019,2019,23,Soledad,4,0,0,4
09/06/2019,2019,24,Soledad,4,0,0,4
16/06/2019,2019,25,Soledad,3,0,0,3
23/06/2019,2019,26,Soledad,9,0,0,9
30/06/2019,2019,27,Soledad,9,0,0,9
07/07/2019,2019,28,Soledad,6,0,0,6
14/07/2019,2019,29,Soledad,11,0,0,11
21/07/2019,2019,30,Soledad,6,0,0,6
28/07/2019,2019,31,Soledad,11,0,0,11
04/08/2019,2019,32,Soledad,6,0,0,6
11/08/2019,2019,33,Soledad,7,0,0,7
18/08/2019,2019,34,Soledad,3,0,0,3
25/08/2019,2019,35,Soledad,4,0,0,4
01/09/2019,2019,36,Soledad,7,0,0,7
08/09/2019,2019,37,Soledad,6,0,0,6
15/09/2019,2019,38,Soledad,5,0,0,5
22/09/2019,2019,39,Soledad,5,0,0,5
29/09/2019,2019,40,Soledad,11,0,0,11
06/10/2019,2019,41,Soledad,14,0,0,14
13/10/2019,2019,42,Soledad,15,0,0,15
20/10/2019,2019,43,Soledad,14,0,0,14
27/10/2019,2019,44,Soledad,19,0,0,19
03/11/2019,2019,45,Soledad,26,0,0,26
10/11/2019,2019,46,Soledad,27,0,0,27
17/11/2019,2019,47,Soledad,38,0,0,38
24/11/2019,2019,48,Soledad,36,1,0,37
01/12/2019,2019,49,Soledad,43,0,0,43
08/12/2019,2019,50,Soledad,45,0,0,45
15/12/2019,2019,51,Soledad,37,0,0,37
22/12/2019,2019,52,Soledad,16,0,0,16
30/12/2018,2019,1,Sincelejo,26,0,0,26
06/01/2019,2019,2,Sincelejo,27,0,0,27
13/01/2019,2019,3,Sincelejo,31,0,0,31
20/01/2019,2019,4,Sincelejo,50,0,0,50
27/01/2019,2019,5,Sincelejo,31,0,0,31
03/02/2019,2019,6,Sincelejo,36,0,0,36
10/02/2019,2019,7,Sincelejo,27,0,0,27
17/02/2019,2019,8,Sincelejo,27,0,0,27
24/02/2019,2019,9,Sincelejo,30,0,0,30
03/03/2019,2019,10,Sincelejo,23,0,0,23
10/03/2019,2019,11,Sincelejo,23,0,0,23
17/03/2019,2019,12,Sincelejo,22,1,0,23
24/03/2019,2019,13,Sincelejo,13,0,0,13
31/03/2019,2019,14,Sincelejo,29,0,0,29
07/04/2019,2019,15,Sincelejo,11,0,0,11
14/04/2019,2019,16,Sincelejo,16,0,0,16
21/04/2019,2019,17,Sincelejo,18,0,0,18
28/04/2019,2019,18,Sincelejo,10,0,0,10
05/05/2019,2019,19,Sincelejo,19,0,0,19
12/05/2019,2019,20,Sincelejo,26,0,0,26
19/05/2019,2019,21,Sincelejo,28,0,0,28
26/05/2019,2019,22,Sincelejo,32,0,0,32
02/06/2019,2019,23,Sincelejo,45,0,0,45
09/06/2019,2019,24,Sincelejo,58,1,1,60
16/06/2019,2019,25,Sincelejo,74,0,0,74
23/06/2019,2019,26,Sincelejo,91,1,2,94
30/06/2019,2019,27,Sincelejo,101,0,0,101
07/07/2019,2019,28,Sincelejo,133,0,0,133
14/07/2019,2019,29,Sincelejo,119,0,0,119
21/07/2019,2019,30,Sincelejo,132,1,0,133
28/07/2019,2019,31,Sincelejo,103,1,0,104
04/08/2019,2019,32,Sincelejo,117,0,0,117
11/08/2019,2019,33,Sincelejo,113,0,0,113
18/08/2019,2019,34,Sincelejo,121,0,0,121
25/08/2019,2019,35,Sincelejo,141,0,0,141
01/09/2019,2019,36,Sincelejo,137,0,0,137
08/09/2019,2019,37,Sincelejo,131,0,0,131
15/09/2019,2019,38,Sincelejo,128,0,0,128
22/09/2019,2019,39,Sincelejo,158,0,0,158
29/09/2019,2019,40,Sincelejo,150,0,0,150
06/10/2019,2019,41,Sincelejo,124,0,0,124
13/10/2019,2019,42,Sincelejo,106,0,0,106
20/10/2019,2019,43,Sincelejo,120,0,0,120
27/10/2019,2019,44,Sincelejo,104,0,0,104
03/11/2019,2019,45,Sincelejo,142,0,0,142
10/11/2019,2019,46,Sincelejo,118,0,0,118
17/11/2019,2019,47,Sincelejo,68,0,0,68
24/11/2019,2019,48,Sincelejo,95,0,0,95
01/12/2019,2019,49,Sincelejo,62,0,1,63
08/12/2019,2019,50,Sincelejo,72,0,0,72
15/12/2019,2019,51,Sincelejo,61,0,0,61
22/12/2019,2019,52,Sincelejo,13,0,0,13
30/12/2018,2019,1,Neiva,27,0,0,27
06/01/2019,2019,2,Neiva,39,0,0,39
13/01/2019,2019,3,Neiva,36,0,0,36
20/01/2019,2019,4,Neiva,41,0,0,41
27/01/2019,2019,5,Neiva,35,0,0,35
03/02/2019,2019,6,Neiva,53,2,0,55
10/02/2019,2019,7,Neiva,68,0,0,68
17/02/2019,2019,8,Neiva,81,0,0,81
24/02/2019,2019,9,Neiva,86,0,1,87
03/03/2019,2019,10,Neiva,97,0,2,99
10/03/2019,2019,11,Neiva,127,2,1,130
17/03/2019,2019,12,Neiva,111,2,1,114
24/03/2019,2019,13,Neiva,115,0,0,115
31/03/2019,2019,14,Neiva,135,0,0,135
07/04/2019,2019,15,Neiva,124,0,0,124
14/04/2019,2019,16,Neiva,189,0,0,189
21/04/2019,2019,17,Neiva,198,1,1,200
28/04/2019,2019,18,Neiva,209,0,0,209
05/05/2019,2019,19,Neiva,207,0,0,207
12/05/2019,2019,20,Neiva,239,0,0,239
19/05/2019,2019,21,Neiva,268,1,0,269
26/05/2019,2019,22,Neiva,254,0,0,254
02/06/2019,2019,23,Neiva,239,0,0,239
09/06/2019,2019,24,Neiva,233,0,1,234
16/06/2019,2019,25,Neiva,208,0,0,208
23/06/2019,2019,26,Neiva,140,0,0,140
30/06/2019,2019,27,Neiva,229,2,0,231
07/07/2019,2019,28,Neiva,205,2,0,207
14/07/2019,2019,29,Neiva,155,0,0,155
21/07/2019,2019,30,Neiva,130,0,0,130
28/07/2019,2019,31,Neiva,122,0,0,122
04/08/2019,2019,32,Neiva,123,0,0,123
11/08/2019,2019,33,Neiva,85,1,0,86
18/08/2019,2019,34,Neiva,70,0,0,70
25/08/2019,2019,35,Neiva,78,0,1,79
01/09/2019,2019,36,Neiva,59,0,0,59
08/09/2019,2019,37,Neiva,52,0,0,52
15/09/2019,2019,38,Neiva,33,0,0,33
22/09/2019,2019,39,Neiva,45,0,0,45
29/09/2019,2019,40,Neiva,36,0,0,36
06/10/2019,2019,41,Neiva,26,0,0,26
13/10/2019,2019,42,Neiva,44,0,0,44
20/10/2019,2019,43,Neiva,37,0,1,38
27/10/2019,2019,44,Neiva,35,1,0,36
03/11/2019,2019,45,Neiva,40,0,0,40
10/11/2019,2019,46,Neiva,28,0,0,28
17/11/2019,2019,47,Neiva,44,0,0,44
24/11/2019,2019,48,Neiva,44,0,0,44
01/12/2019,2019,49,Neiva,39,1,0,40
08/12/2019,2019,50,Neiva,40,0,0,40
15/12/2019,2019,51,Neiva,69,0,0,69
22/12/2019,2019,52,Neiva,30,0,0,30
29/12/2019,2020,1,Soledad,51,0,0,51
05/01/2020,2020,2,Soledad,62,0,0,62
12/01/2020,2020,3,Soledad,50,0,0,50
19/01/2020,2020,4,Soledad,46,0,0,46
26/01/2020,2020,5,Soledad,41,0,0,41
02/02/2020,2020,6,Soledad,35,0,0,35
09/02/2020,2020,7,Soledad,18,0,0,18
16/02/2020,2020,8,Soledad,17,0,0,17
23/02/2020,2020,9,Soledad,22,0,1,23
01/03/2020,2020,10,Soledad,7,0,0,7
08/03/2020,2020,11,Soledad,9,0,0,9
15/03/2020,2020,12,Soledad,2,0,0,2
22/03/2020,2020,13,Soledad,2,0,0,2
29/03/2020,2020,14,Soledad,1,0,0,1
05/04/2020,2020,15,Soledad,1,0,0,1
12/04/2020,2020,16,Soledad,2,0,0,2
19/04/2020,2020,17,Soledad,2,0,1,3
26/04/2020,2020,18,Soledad,3,0,0,3
03/05/2020,2020,19,Soledad,1,0,0,1
10/05/2020,2020,20,Soledad,0,0,0,0
17/05/2020,2020,21,Soledad,1,0,0,1
24/05/2020,2020,22,Soledad,3,0,0,3
31/05/2020,2020,23,Soledad,1,0,0,1
07/06/2020,2020,24,Soledad,1,0,0,1
14/06/2020,2020,25,Soledad,1,0,0,1
21/06/2020,2020,26,Soledad,0,0,0,0
28/06/2020,2020,27,Soledad,1,0,0,1
05/07/2020,2020,28,Soledad,2,0,0,2
12/07/2020,2020,29,Soledad,2,0,0,2
19/07/2020,2020,30,Soledad,2,0,0,2
26/07/2020,2020,31,Soledad,0,0,0,0
02/08/2020,2020,32,Soledad,0,0,0,0
09/08/2020,2020,33,Soledad,0,0,0,0
16/08/2020,2020,34,Soledad,2,0,0,2
23/08/2020,2020,35,Soledad,3,0,0,3
30/08/2020,2020,36,Soledad,3,0,0,3
06/09/2020,2020,37,Soledad,3,0,0,3
13/09/2020,2020,38,Soledad,1,0,0,1
20/09/2020,2020,39,Soledad,7,0,0,7
27/09/2020,2020,40,Soledad,3,0,0,3
04/10/2020,2020,41,Soledad,2,0,0,2
11/10/2020,2020,42,Soledad,4,0,0,4
18/10/2020,2020,43,Soledad,2,0,0,2
25/10/2020,2020,44,Soledad,5,0,0,5
01/11/2020,2020,45,Soledad,5,0,0,5
08/11/2020,2020,46,Soledad,9,0,0,9
15/11/2020,2020,47,Soledad,3,0,0,3
22/11/2020,2020,48,Soledad,7,0,0,7
29/11/2020,2020,49,Soledad,4,0,0,4
06/12/2020,2020,50,Soledad,17,0,0,17
13/12/2020,2020,51,Soledad,17,0,0,17
20/12/2020,2020,52,Soledad,6,0,0,6
27/12/2020,2020,53,Soledad,3,0,0,3
29/12/2019,2020,1,Sincelejo,55,0,0,55
05/01/2020,2020,2,Sincelejo,56,0,1,57
12/01/2020,2020,3,Sincelejo,62,0,0,62
19/01/2020,2020,4,Sincelejo,57,0,0,57
26/01/2020,2020,5,Sincelejo,40,0,0,40
02/02/2020,2020,6,Sincelejo,46,0,0,46
09/02/2020,2020,7,Sincelejo,58,0,0,58
16/02/2020,2020,8,Sincelejo,40,0,0,40
23/02/2020,2020,9,Sincelejo,30,0,0,30
01/03/2020,2020,10,Sincelejo,31,0,0,31
08/03/2020,2020,11,Sincelejo,20,0,0,20
15/03/2020,2020,12,Sincelejo,13,0,0,13
22/03/2020,2020,13,Sincelejo,6,0,0,6
29/03/2020,2020,14,Sincelejo,6,1,0,7
05/04/2020,2020,15,Sincelejo,7,0,0,7
12/04/2020,2020,16,Sincelejo,10,0,0,10
19/04/2020,2020,17,Sincelejo,4,0,0,4
26/04/2020,2020,18,Sincelejo,7,0,0,7
03/05/2020,2020,19,Sincelejo,1,0,0,1
10/05/2020,2020,20,Sincelejo,4,0,0,4
17/05/2020,2020,21,Sincelejo,7,0,0,7
24/05/2020,2020,22,Sincelejo,3,0,0,3
31/05/2020,2020,23,Sincelejo,6,0,0,6
07/06/2020,2020,24,Sincelejo,5,0,0,5
14/06/2020,2020,25,Sincelejo,3,0,0,3
21/06/2020,2020,26,Sincelejo,0,0,0,0
28/06/2020,2020,27,Sincelejo,3,0,0,3
05/07/2020,2020,28,Sincelejo,3,0,0,3
12/07/2020,2020,29,Sincelejo,3,0,0,3
19/07/2020,2020,30,Sincelejo,1,0,0,1
26/07/2020,2020,31,Sincelejo,2,0,0,2
02/08/2020,2020,32,Sincelejo,3,0,0,3
09/08/2020,2020,33,Sincelejo,4,0,0,4
16/08/2020,2020,34,Sincelejo,7,0,0,7
23/08/2020,2020,35,Sincelejo,4,0,0,4
30/08/2020,2020,36,Sincelejo,2,0,0,2
06/09/2020,2020,37,Sincelejo,3,0,0,3
13/09/2020,2020,38,Sincelejo,3,0,0,3
20/09/2020,2020,39,Sincelejo,6,0,1,7
27/09/2020,2020,40,Sincelejo,5,0,0,5
04/10/2020,2020,41,Sincelejo,8,0,0,8
11/10/2020,2020,42,Sincelejo,6,0,0,6
18/10/2020,2020,43,Sincelejo,6,0,0,6
25/10/2020,2020,44,Sincelejo,6,0,0,6
01/11/2020,2020,45,Sincelejo,7,0,0,7
08/11/2020,2020,46,Sincelejo,6,0,0,6
15/11/2020,2020,47,Sincelejo,8,0,0,8
22/11/2020,2020,48,Sincelejo,4,0,0,4
29/11/2020,2020,49,Sincelejo,8,0,0,8
06/12/2020,2020,50,Sincelejo,11,0,0,11
13/12/2020,2020,51,Sincelejo,5,0,0,5
20/12/2020,2020,52,Sincelejo,2,0,0,2
27/12/2020,2020,53,Sincelejo,3,0,0,3
29/12/2019,2020,1,Neiva,77,0,0,77
05/01/2020,2020,2,Neiva,89,1,0,90
12/01/2020,2020,3,Neiva,72,0,0,72
19/01/2020,2020,4,Neiva,72,0,0,72
26/01/2020,2020,5,Neiva,74,0,0,74
02/02/2020,2020,6,Neiva,58,0,0,58
09/02/2020,2020,7,Neiva,67,0,0,67
16/02/2020,2020,8,Neiva,63,0,0,63
23/02/2020,2020,9,Neiva,50,0,0,50
01/03/2020,2020,10,Neiva,53,0,0,53
08/03/2020,2020,11,Neiva,27,0,0,27
15/03/2020,2020,12,Neiva,20,0,0,20
22/03/2020,2020,13,Neiva,14,0,0,14
29/03/2020,2020,14,Neiva,14,0,0,14
05/04/2020,2020,15,Neiva,6,0,0,6
12/04/2020,2020,16,Neiva,7,0,0,7
19/04/2020,2020,17,Neiva,8,0,0,8
26/04/2020,2020,18,Neiva,10,0,0,10
03/05/2020,2020,19,Neiva,8,0,0,8
10/05/2020,2020,20,Neiva,5,0,0,5
17/05/2020,2020,21,Neiva,3,0,0,3
24/05/2020,2020,22,Neiva,3,0,0,3
31/05/2020,2020,23,Neiva,3,0,0,3
07/06/2020,2020,24,Neiva,5,0,0,5
14/06/2020,2020,25,Neiva,6,0,0,6
21/06/2020,2020,26,Neiva,8,0,0,8
28/06/2020,2020,27,Neiva,6,0,0,6
05/07/2020,2020,28,Neiva,9,0,0,9
12/07/2020,2020,29,Neiva,14,0,0,14
19/07/2020,2020,30,Neiva,8,0,0,8
26/07/2020,2020,31,Neiva,9,0,0,9
02/08/2020,2020,32,Neiva,9,0,0,9
09/08/2020,2020,33,Neiva,4,0,0,4
16/08/2020,2020,34,Neiva,8,0,0,8
23/08/2020,2020,35,Neiva,5,0,0,5
30/08/2020,2020,36,Neiva,6,0,0,6
06/09/2020,2020,37,Neiva,2,0,0,2
13/09/2020,2020,38,Neiva,6,0,0,6
20/09/2020,2020,39,Neiva,6,0,0,6
27/09/2020,2020,40,Neiva,7,0,0,7
04/10/2020,2020,41,Neiva,5,0,0,5
11/10/2020,2020,42,Neiva,3,0,0,3
18/10/2020,2020,43,Neiva,1,0,0,1
25/10/2020,2020,44,Neiva,4,0,0,4
01/11/2020,2020,45,Neiva,7,0,0,7
08/11/2020,2020,46,Neiva,5,0,0,5
15/11/2020,2020,47,Neiva,3,0,0,3
22/11/2020,2020,48,Neiva,4,0,0,4
29/11/2020,2020,49,Neiva,7,0,0,7
06/12/2020,2020,50,Neiva,4,0,0,4
13/12/2020,2020,51,Neiva,7,0,0,7
20/12/2020,2020,52,Neiva,9,0,0,9
27/12/2020,2020,53,Neiva,3,0,0,3
